tn,ID,genus,svl,gscm,hv,zv,hvtf,zvtf,mv,av,lv,mvtf,avtf,over,dtaf,zpaf,zpmx,dft,AH,LD,gscm_rel,hv_rel,zv_rel,hvtf_rel,zvtf_rel,mv_rel,av_rel,lv_rel,mvtf_rel,avtf_rel,over_rel,dtaf_rel,zpaf_rel,zpmx_rel,dft_rel,AH_rel,LD_rel
44,94,Chrysopelea,85,38.7053797,0.012647972,0.018539409,0.003947414,0.007770342,0.284009062,0.23350861,0.261873747,,,0.002283775,0.058900946,0.019305952,0.019305952,0.062975786,0.027493396,0.008187444,45.53574082,0.014879967,0.021811069,0.004644017,0.009141579,0.334128308,0.274716012,0.308086761,,,0.002686794,0.06929523,0.022712885,0.022712885,0.074089161,0.032345172,0.009632287
47,94,Chrysopelea,85,43.77601493,0.037012113,0.072162187,0.027074018,0.06371802,1.152426171,0.194940647,1.143654304,,,0.02669895,0.234356336,0.035505433,0.081238595,0.210583629,0.184287347,0.148781914,51.50119404,0.043543662,0.084896691,0.031851786,0.074962377,1.355795495,0.229341938,1.345475652,,,0.031410529,0.275713336,0.041771097,0.095574818,0.247745446,0.216808643,0.175037546
48,94,Chrysopelea,85,44.59664323,0.040859926,0.097483358,0.026255342,0.096748299,1.631174833,0.262866992,1.62834156,,,0.11264338,0.365689739,-0.000496953,0.08985874,0.252260409,0.150222469,0.150719422,52.46663909,0.048070501,0.114686304,0.030888637,0.113821529,1.919029215,0.309255285,1.915695953,,,0.132521624,0.430223222,-0.000584651,0.105716165,0.296776952,0.176732317,0.177316967
49,94,Chrysopelea,85,44.36440725,0.011790537,0.024126247,0.008008719,0.006122652,0.315210467,0.16114506,0.314525182,,,-0.015648736,0.097691957,0.021827017,0.023582422,0.120159245,0.060380484,0.038553467,52.19342029,0.013871221,0.02838382,0.009422022,0.007203121,0.370835844,0.189582424,0.370029626,,,-0.018410277,0.114931714,0.025678844,0.027744026,0.141363818,0.071035864,0.04535702
61,89,Chrysopelea,71.5,33.92301044,0.013085844,0.017914316,0.006730852,0.012205395,0.518157224,0.463332491,0.451507246,,,0.020465227,0.240199409,0.003759066,0.015964462,0.236794862,0.009567061,0.005807995,47.44476985,0.01830188,0.025054988,0.009413779,0.017070483,0.724695418,0.64801747,0.631478666,,,0.028622695,0.335943229,0.005257435,0.022327918,0.331181625,0.013380505,0.008123069
67,89,Chrysopelea,71.5,39.43021572,0.059776671,0.299027185,0.045304389,0.299027185,1.963754439,0.495661836,0.991010967,,,0.10236142,0.530678177,-0.127747923,0.03824682,0.42907542,-0.000673451,0.039603027,55.14715485,0.083603736,0.41821984,0.063362782,0.41821984,2.746509705,0.693233337,1.386029324,,,0.143162826,0.742207241,-0.178668423,0.053492056,0.600105482,-0.00094189,0.055388849
68,89,Chrysopelea,71.5,39.46749082,0.105877607,0.351835047,0.105877607,0.351835047,1.307527209,0.204051059,1.182933536,,,0.097659178,0.427133117,-0.12499396,0.134715658,0.321528331,0.062542162,0.187536122,55.19928786,0.148080569,0.492076989,0.148080569,0.492076989,1.828709383,0.285386097,1.654452498,,,0.136586263,0.597388974,-0.174816727,0.188413508,0.449689973,0.087471555,0.262288282
69,89,Chrysopelea,71.5,42.66759264,0.022759653,0.086267293,0.022580217,0.086267293,0.8689286,0.206325249,0.685886647,,,0.046225651,0.203553898,0.021829004,0.082342464,0.157617079,0.123010283,0.101181279,59.67495474,0.031831683,0.120653557,0.031580723,0.120653557,1.215284755,0.288566782,0.959282024,,,0.06465126,0.284690767,0.030530076,0.115164285,0.220443468,0.172042354,0.141512278
70,89,Chrysopelea,71.5,42.34117964,0.091584437,0.373345987,0.091584437,0.373345987,1.342092482,0.254212621,1.123840639,,,0.114309931,0.380903622,-0.061355729,0.052210387,0.271944146,0.125685345,0.187041074,59.21843307,0.128090121,0.522162219,0.128090121,0.522162219,1.877052422,0.355542127,1.57180509,,,0.159874029,0.532732338,-0.085812208,0.07302152,0.380341462,0.175783699,0.261595907
71,89,Chrysopelea,71.5,42.36403625,0.05697691,0.336111953,0.056895002,0.336111953,1.456568044,0.301813843,1.090513441,,,0.052314417,0.278564127,0.012315732,0.07427896,0.234895753,0.155078414,0.142762682,59.25040035,0.079687986,0.470086647,0.079573429,0.470086647,2.037158103,0.422117263,1.525193624,,,0.073167017,0.389600177,0.0172248,0.103886657,0.328525528,0.216892887,0.199668087
72,89,Chrysopelea,71.5,46.60918174,0.098061589,0.47953037,0.093925996,0.47953037,2.148839873,0.33741781,1.667182902,,,0.10501087,0.38838114,0.014992295,0.131002475,0.283513435,0.165931004,0.150938709,65.18766677,0.137149076,0.670671846,0.131365029,0.670671846,3.005370452,0.471913021,2.331724338,,,0.14686835,0.543190405,0.020968245,0.183220244,0.396522287,0.232071334,0.211103089
73,89,Chrysopelea,71.5,46.58304823,0.105775371,0.486162506,0.105775371,0.486162506,2.677992628,0.349750584,1.450400589,,,0.155570916,0.808933107,-0.283444307,0.103450716,0.66579715,-0.000793639,0.058533605,65.1511164,0.147937582,0.679947561,0.147937582,0.679947561,3.745444235,0.489161656,2.028532292,,,0.217581701,1.131374975,-0.396425604,0.144686316,0.931184825,-0.001109985,0.081865182
74,89,Chrysopelea,71.5,46.56931124,0.067323482,0.359568455,0.067323482,0.359568455,1.841461686,0.362799382,1.688306976,,,0.187885464,0.681538574,-0.181901567,0.055981238,0.500494839,0.00144046,0.183342028,65.13190383,0.094158716,0.502892944,0.094158716,0.502892944,2.57547089,0.507411723,2.361268498,,,0.262776872,0.953200802,-0.254407787,0.078295438,0.699992782,0.00201463,0.256422416
75,89,Chrysopelea,71.5,49.99906443,0.030707274,0.14556117,0.030707274,0.116877822,1.358586714,0.208703824,1.10004414,,,0.040266543,0.223574422,0.056012634,0.119024665,0.184336369,0.101445855,0.045433221,69.92876144,0.042947237,0.203582055,0.042947237,0.163465485,1.900121278,0.29189346,1.538523273,,,0.056316844,0.312691499,0.078339348,0.166468063,0.257813104,0.141882314,0.063542966
76,89,Chrysopelea,71.5,49.93535786,0.032059692,0.16715258,0.032059692,0.146551108,1.662365086,0.223457576,1.641732174,,,0.057374129,0.238523705,0.011687398,0.157405597,0.183834422,0.031427663,0.019740264,69.83966134,0.044838731,0.233779832,0.044838731,0.204966585,2.324986134,0.312528078,2.296128915,,,0.080243537,0.333599588,0.016346011,0.220147688,0.257111079,0.043954773,0.027608761
77,89,Chrysopelea,71.5,49.9768154,0.060511837,0.244102279,0.060511837,0.244102279,2.020864875,0.757017483,2.009184544,,,0.222560779,0.611138845,-0.1067214,0.112044735,0.389032455,0.14434321,0.25106461,69.89764391,0.08463194,0.341401789,0.08463194,0.341401789,2.826384441,1.05876571,2.810048313,,,0.311273816,0.854739644,-0.149260699,0.156705923,0.544101336,0.201878616,0.351139315
78,89,Chrysopelea,71.5,53.47856529,0.056208935,0.194278962,0.056208935,0.194278962,1.914260478,0.216140283,1.903392099,,,0.118957492,0.386463446,0.028153107,0.130577533,0.263429526,0.136858936,0.10870583,74.79519621,0.078613895,0.271718828,0.078613895,0.271718828,2.677287382,0.302294102,2.662086852,,,0.166374114,0.540508316,0.039374974,0.18262592,0.368432903,0.1914111,0.152036125
79,89,Chrysopelea,71.5,53.3747338,0.038140025,0.204452555,0.034296745,0.202221358,1.954053794,0.228431469,1.875355274,,,0.040768194,0.264518736,0.022503277,0.198948771,0.22187357,0.054951744,0.032448467,74.64997735,0.053342692,0.285947629,0.047967476,0.282827074,2.732942369,0.319484572,2.622874509,,,0.057018454,0.369956274,0.031473115,0.27825003,0.310312685,0.076855585,0.045382471
80,89,Chrysopelea,71.5,53.41709529,0.022739524,0.199218966,0.019957124,0.175541044,1.696295596,0.218367137,1.674874283,,,0.043638276,0.244524114,0.024757645,0.193283007,0.202287901,0.049654478,0.024896833,74.70922419,0.03180353,0.278627925,0.027912061,0.24551195,2.372441393,0.305408583,2.342481515,,,0.061032554,0.341991768,0.034626077,0.270325884,0.282920141,0.069446822,0.034820745
81,89,Chrysopelea,71.5,57.26694965,0.029332554,0.165323703,0.029332554,0.142614219,1.917532067,0.201859906,1.909486228,,,0.139705439,0.452640157,0.021721051,0.15498886,0.315976557,0.152465866,0.130744815,80.09363588,0.041024551,0.231221963,0.041024551,0.199460447,2.681863031,0.282321547,2.670610109,,,0.195392223,0.633063157,0.030379093,0.216767637,0.441925255,0.213238974,0.182859881
82,89,Chrysopelea,71.5,57.29368033,0.033167621,0.18005287,0.031941283,0.18005287,1.936083673,0.312249633,1.921959097,,,0.122828904,0.463384131,0.038467824,0.166663969,0.344359926,0.16171851,0.123250685,80.13102145,0.046388281,0.251822196,0.044673123,0.251822196,2.707809333,0.436712773,2.688054681,,,0.171788677,0.648089694,0.053801153,0.23309646,0.481622274,0.226179734,0.172378581
83,89,Chrysopelea,71.5,57.17227747,0.025521881,0.119903017,0.025521881,0.119903017,1.792271213,0.176593147,1.78112527,,,0.07723011,0.411417973,-0.021196611,0.096433382,0.332841116,0.157523734,0.178720344,79.96122722,0.035694938,0.167696528,0.035694938,0.167696528,2.506673025,0.246983422,2.491084294,,,0.108014139,0.575409753,-0.029645609,0.134871862,0.46551205,0.220312914,0.249958523
85,89,Chrysopelea,71.5,60.8,0.163920767,0.32329454,0.075120125,0.32329454,2.043861415,0.368340062,2.015820271,,,,0.720584262,-0.153403362,0.166773628,,0.13011095,0.283514312,85.03496503,0.229259814,0.452160195,0.105063112,0.452160195,2.858547434,0.515160926,2.81932905,,,,1.007810156,-0.214550157,0.23324983,,0.181973356,0.396523513
87,89,Chrysopelea,71.5,60.82972757,0.03889415,0.283844371,0.03889415,0.283844371,1.832546784,0.338348514,1.830228922,,,0.017821782,0.547824415,-0.116345489,0.161173398,0.467327007,0.14704759,0.263393079,85.07654205,0.054397413,0.396985134,0.054397413,0.396985134,2.563002495,0.473214705,2.55976073,,,0.02492557,0.766187993,-0.162720964,0.22541734,0.653604206,0.205660965,0.368381929
88,89,Chrysopelea,71.5,64.72326616,0.073130337,0.273252486,0.033224143,0.273252486,2.27566326,0.269703655,2.205229652,,,0.157534696,0.620114686,-0.07247814,0.198287282,0.470905608,0.124097606,0.196575746,90.52205057,0.102280191,0.382171309,0.046467333,0.382171309,3.182745818,0.377207909,3.084237276,,,0.220328246,0.867293267,-0.101368029,0.277324869,0.658609241,0.173563085,0.274931114
89,89,Chrysopelea,71.5,64.68506851,0.082144771,0.338280892,0.068844128,0.338280892,1.977323928,0.220890541,1.533230596,,,0.187488795,0.687867314,-0.160366933,0.176838078,0.516767656,0.128380063,0.288746996,90.46862729,0.114887792,0.473120128,0.096285494,0.473120128,2.765488011,0.30893782,2.144378456,,,0.262222091,0.962052188,-0.224289416,0.247325983,0.722751966,0.179552536,0.403841953
90,89,Chrysopelea,71.5,64.69461468,0.03206118,0.252272204,0.026503896,0.252272204,2.099969087,0.357684112,2.088704249,,,0.125464247,0.629092372,-0.103365543,0.144614646,0.500729533,0.15393417,0.257299713,90.48197857,0.044840812,0.352828257,0.037068386,0.352828257,2.937019702,0.500257499,2.921264684,,,0.175474471,0.879849471,-0.144567193,0.202258246,0.700321025,0.215292545,0.359859738
91,89,Chrysopelea,71.5,66.75885333,0.088720685,0.301272376,0.023737663,0.301272376,2.119067877,0.482334377,2.10881828,,,0.12207882,0.653631217,-0.119319981,0.179811861,0.524529619,0.111640623,0.230960604,93.36902563,0.124084875,0.421359966,0.033199529,0.421359966,2.963731297,0.674593534,2.949396196,,,0.170739608,0.914169534,-0.166881092,0.251485121,0.733607859,0.156140731,0.323021824
92,89,Chrysopelea,71.5,66.71341342,0.040859418,0.342625085,0.023935005,0.342625085,2.176812633,0.580553995,2.16053146,,,0.170391451,0.746122656,-0.175074833,0.165085849,0.576292674,0.111290118,0.286364951,93.30547331,0.05714604,0.479195924,0.033475531,0.479195924,3.044493193,0.811963629,3.021722322,,,0.238309722,1.04352819,-0.244859906,0.2308893,0.80600374,0.155650515,0.400510421
93,89,Chrysopelea,71.5,66.7,0.096302557,0.484553339,0.096302557,0.484553339,2.320414458,0.675658755,2.29173264,,,,0.818347971,-0.241725892,0.241464784,,0.121688576,0.363414468,93.28671329,0.134688891,0.677696977,0.134688891,0.677696977,3.245334906,0.94497728,3.205220476,,,,1.144542617,-0.33807817,0.337712985,,0.170193813,0.508271983
94,89,Chrysopelea,71.5,71,0.112875738,0.432025932,0.112875738,0.432025932,2.503046656,0.729289962,2.49921322,,,,0.793939658,-0.20277309,0.221893845,,0.129039084,0.331812175,99.3006993,0.157868165,0.604232073,0.157868165,0.604232073,3.500764554,1.019985961,3.495403105,,,,1.110405116,-0.283598728,0.310341042,,0.180474244,0.464072971
